"team","points_scored","points_allowed","pass_rush_rating","sack_rate","pressure_rate","pass_block_rating","sacks_allowed_rate","protection_rate","wins","losses","ties","win_pct","primary_qb","coach","passing_epa","total_pass_plays","rushing_epa","total_rush_plays","total_offensive_epa","total_plays","defensive_epa","defensive_pass_epa","defensive_rush_epa","season"
"BAL",518,361,12.0542082738944,0.0705882352941176,0.220915032679739,94.2293644996348,0.0415944540727903,0.863084922010399,12,5,0,0.705882352941177,"Lamar Jackson","John Harbaugh",0.323842525586039,577,0.0552633473732382,514,0.140056262089534,1398,0.00849365672380246,0.0545288383087365,-0.174149274139278,2024
"BUF",525,368,9.63235294117647,0.0577777777777778,0.194074074074074,95.1708766716196,0.0224719101123595,0.895666131621188,13,4,0,0.764705882352941,"Josh Allen","Sean McDermott",0.299042414470569,623,0.0287729827848492,442,0.135750469543813,1378,-0.0036071590777202,0.09436007087698,-0.159749333550052,2024
"DEN",425,311,13.8732394366197,0.08311345646438,0.259894459102902,94.121969140338,0.0352941176470588,0.88235294117647,10,7,0,0.588235294117647,"Bo Nix","Sean Payton",0.059963360002975,680,-0.0752049920616014,403,0.0257996332282534,1389,-0.072451494249611,-0.0590134758334829,-0.175288142170307,2024
"DET",564,342,10.4838709677419,0.0493991989319092,0.190921228304406,91.3916786226686,0.0538336052202284,0.804241435562806,15,2,0,0.88235294117647,"Jared Goff","Dan Campbell",0.268663579437822,613,0.0193792574428437,512,0.139564229065492,1425,-0.0383466936620825,-0.0158788238627325,-0.109913692685534,2024
"GB",460,338,9.79955456570156,0.0664697193500739,0.194977843426883,92.9640718562874,0.039426523297491,0.831541218637993,11,6,0,0.647058823529412,"Jordan Love","Matt LaFleur",0.184939072425317,558,-0.0333142607887096,513,0.0722471578838627,1364,-0.0394778117020291,-0.0244486451792279,-0.141407217936447,2024
"HOU",372,372,10.6539309331374,0.072700296735905,0.21513353115727,88.3502170767004,0.0773638968481375,0.769340974212034,10,7,0,0.588235294117647,"C.J. Stroud","DeMeco Ryans",0.00852611293861685,698,-0.124415717150284,395,-0.0122920445336459,1406,-0.0165096264181322,0.00500847501925939,-0.150304437900624,2024
"KC",385,326,11.1698113207547,0.0559540889526542,0.212338593974175,88.6545454545454,0.0567081604426003,0.784232365145228,15,2,0,0.88235294117647,"Patrick Mahomes","Andy Reid",0.139311696534386,723,-0.0582482723776076,401,0.0530531955257462,1405,-0.000412701183163247,0.0703078377861436,-0.114551131042364,2024
"LA",367,386,7.84457478005866,0.0579268292682927,0.163109756097561,90.3007518796993,0.0491283676703645,0.795562599049128,10,7,0,0.588235294117647,"Matthew Stafford","Sean McVay",0.107403066567772,631,-0.0708091412185938,443,0.0174803942145199,1355,0.0357053169262506,0.119584265172053,-0.0524360846723363,2024
"LAC",402,301,10.2373887240356,0.0659971305595409,0.197991391678623,88.6363636363636,0.0704,0.76,11,6,0,0.647058823529412,"Justin Herbert","Jim Harbaugh",0.130868766068679,625,-0.0832450337071264,419,0.0397161145415807,1352,-0.050973339873653,-0.0176485485697122,-0.124049788755177,2024
"MIN",432,332,11.418439716312,0.0653333333333333,0.214666666666667,89.067055393586,0.072700296735905,0.777448071216617,14,3,0,0.823529411764706,"Sam Darnold","Kevin O'Connell",0.133090771888674,674,-0.118751612430462,416,0.0228862533226481,1402,-0.0727075480810919,-0.0334265508603924,-0.199929659353343,2024
"PHI",463,303,9.45736434108528,0.0625,0.185975609756098,91.4712153518124,0.079646017699115,0.787610619469027,14,3,0,0.823529411764706,"Jalen Hurts","Nick Sirianni",0.16323449203706,565,0.0578575393700375,564,0.0800782098580642,1441,-0.0578791249664364,-0.0230531932244657,-0.192791162513289,2024
"PIT",380,347,10.5847520355293,0.0584795321637427,0.20906432748538,88.6575735821967,0.0791599353796446,0.744749596122779,10,7,0,0.588235294117647,"Russell Wilson","Mike Tomlin",0.0474657806841769,619,-0.12429568152683,491,0.00643231187301837,1422,-0.0251322200756648,0.0165869630498701,-0.0852976040972186,2024
"TB",502,385,11.3850616388687,0.0613333333333333,0.209333333333333,93.0664760543245,0.058055152394775,0.85921625544267,10,7,0,0.588235294117647,"Baker Mayfield","Todd Bowles",0.208586558271628,689,0.0119088720179205,439,0.102018381836051,1426,0.00430568390282556,0.0927449719860101,-0.145107297635844,2024
"WAS",485,391,9.2920353982301,0.06957928802589,0.203883495145631,91.3658881811748,0.072463768115942,0.823188405797102,12,5,0,0.705882352941177,"Jayden Daniels","Dan Quinn",0.210167763615698,690,0.0314013177972193,452,0.116522873329936,1442,0.0408797143055311,0.0886921907348335,-0.0186708980451704,2024
