"team","wins","losses","win_pct","point_differential","passing_epa","rushing_epa","total_offensive_epa","dropbacks","sacks_allowed","sacks_allowed_rate","protection_rate","defensive_epa","defensive_pass_epa","defensive_rush_epa","opp_dropbacks","sacks","sack_rate","pressure_rate","season","net_epa","playoff_seed","conference"
"BUF",11,4,0.733333333333333,90,73.7847370753688,54.5579270144824,152.021292786491,544,35,0.0643382352941176,0.839154411764706,-44.6947749424039,46.0553419209049,-48.9256117556269,504,34,0.0674603174603175,0.168650793650794,2025,107.326517844087,6,"AFC"
"CAR",8,8,0.5,-67,-33.8263890223717,-4.27865130625129,-19.7360904350736,585,35,0.0598290598290598,0.85042735042735,-62.7664684219491,-49.743929092569,-17.0155935736751,560,28,0.05,0.125,2025,-82.5025588570227,4,"NFC"
"CHI",11,4,0.733333333333333,33,31.4570853710809,33.8397093932492,52.6642091395899,598,23,0.0384615384615385,0.903846153846154,-5.82696012673481,4.50151606632743,6.77743929055124,544,31,0.0569852941176471,0.142463235294118,2025,46.8372490128551,2,"NFC"
"DEN",13,3,0.8125,74,59.1850722794188,4.78372801000679,51.087417008557,676,19,0.0281065088757396,0.929733727810651,23.8605333218122,45.1186503397337,20.344069060548,693,64,0.0923520923520924,0.230880230880231,2025,74.9479503303692,1,"AFC"
"GB",9,6,0.6,44,132.039444708023,-1.86467052455593,135.575797590852,567,25,0.0440917107583774,0.889770723104056,-76.2217666614092,-42.1342606543497,4.31633448218187,617,34,0.0551053484602917,0.137763371150729,2025,59.3540309294428,7,"NFC"
"HOU",11,5,0.6875,101,23.8954756017338,-36.6290523249649,-12.3827425790161,660,31,0.046969696969697,0.882575757575758,145.066173033923,107.808846470929,16.5913711897276,624,46,0.0737179487179487,0.184294871794872,2025,132.683430454907,5,"AFC"
"JAX",12,4,0.75,104,22.0776212730001,-1.38360742613172,58.936752419638,646,39,0.0603715170278638,0.849071207430341,62.9580598152704,74.6076262156885,15.4539417212012,716,31,0.0432960893854749,0.108240223463687,2025,121.894812234908,3,"AFC"
"LA",11,4,0.733333333333333,158,128.351537841571,14.8080374961402,124.954405535684,573,19,0.0331588132635253,0.917102966841187,63.1885044291573,53.6840498578462,19.3859739137956,635,41,0.0645669291338583,0.161417322834646,2025,188.142909964841,5,"NFC"
"LAC",11,5,0.6875,44,-3.25322106607952,5.1874782114756,9.72029517510773,661,56,0.0847201210287443,0.788199697428139,39.5473867245802,44.5084801787106,24.3904215453414,591,41,0.0693739424703892,0.173434856175973,2025,49.2676818996879,7,"AFC"
"NE",13,3,0.8125,142,148.452805577712,-7.02700569981744,132.963809477996,621,48,0.0772946859903382,0.806763285024155,29.0075774602463,21.9504520768311,4.98894586811614,595,31,0.0521008403361345,0.130252100840336,2025,161.971386938242,2,"AFC"
"PHI",10,5,0.666666666666667,60,34.3757723558514,4.04123857907811,25.5416243897504,531,31,0.0583804143126177,0.854048964218456,46.9934562257764,67.0304715105574,6.82357000890983,591,37,0.0626057529610829,0.156514382402707,2025,72.5350806155268,3,"NFC"
"PIT",9,7,0.5625,8,9.14425215802242,10.6239447620127,40.8706693578261,576,29,0.0503472222222222,0.874131944444444,-29.3416002153786,-10.0345526482937,-3.01887087998162,703,45,0.0640113798008535,0.160028449502134,2025,11.5290691424475,4,"AFC"
"SEA",13,3,0.8125,181,52.00753601853,-23.7062167541421,63.8409329207037,519,25,0.0481695568400771,0.879576107899807,152.794957150362,51.2109123176674,58.2086753534346,701,44,0.0627674750356633,0.156918687589158,2025,216.635890071066,1,"NFC"
"SF",11,4,0.733333333333333,72,96.5298346933807,-7.15725977948173,114.413823420635,584,23,0.0393835616438356,0.901541095890411,-16.514819707083,-44.7397779108273,0.203154842225866,589,18,0.0305602716468591,0.0764006791171477,2025,97.8990037135523,6,"NFC"
