"season","game_type","gameday","underdog","winner","loser","away_score","home_score","spread_line","spread_magnitude","temp","wind","roof"
2016,"WC","2017-01-08","NYG","GB","NYG",13,38,5,5,14,7,"outdoors"
2000,"DIV","2001-01-07","PHI","NYG","PHI",10,20,4.5,4.5,39,5,"outdoors"
2001,"WC","2002-01-12","NYJ","OAK","NYJ",24,38,4.5,4.5,53,8,"outdoors"
2002,"DIV","2003-01-11","PIT","TEN","PIT",31,34,4.5,4.5,34,9,"outdoors"
2019,"DIV","2020-01-12","SEA","GB","SEA",23,28,4.5,4.5,23,8,"outdoors"
2021,"WC","2022-01-15","NE","BUF","NE",17,47,4.5,4.5,7,8,"outdoors"
2021,"SB","2022-02-13","CIN","LA","CIN",23,20,-4.5,4.5,NA,NA,"dome"
2023,"WC","2024-01-13","MIA","KC","MIA",7,26,4.5,4.5,-4,19,"outdoors"
2003,"DIV","2004-01-11","GB","PHI","GB",17,20,4,4,25,13,"outdoors"
2005,"SB","2006-02-05","SEA","PIT","SEA",10,21,4,4,NA,NA,"dome"
2009,"CON","2010-01-24","MIN","NO","MIN",28,31,4,4,NA,NA,"dome"
2010,"CON","2011-01-23","NYJ","PIT","NYJ",19,24,4,4,17,10,"outdoors"
2011,"WC","2012-01-07","CIN","HOU","CIN",10,31,4,4,NA,NA,"closed"
2012,"WC","2013-01-05","CIN","HOU","CIN",13,19,4,4,NA,NA,"closed"
2013,"CON","2014-01-19","SF","SEA","SF",17,23,4,4,43,1,"outdoors"
2015,"WC","2016-01-10","MIN","SEA","MIN",10,9,-4,4,-6,12,"outdoors"
2016,"WC","2017-01-07","OAK","HOU","OAK",14,27,4,4,NA,NA,"closed"
2018,"DIV","2019-01-12","IND","KC","IND",13,31,4,4,32,13,"outdoors"
2018,"DIV","2019-01-13","LAC","NE","LAC",28,41,4,4,26,3,"outdoors"
2021,"WC","2022-01-17","ARI","LA","ARI",11,34,4,4,NA,NA,"dome"
2000,"WC","2000-12-31","DEN","BAL","DEN",3,21,3.5,3.5,22,20,"outdoors"
2001,"WC","2002-01-12","TB","PHI","TB",9,31,3.5,3.5,46,10,"outdoors"
2001,"WC","2002-01-13","SF","GB","SF",15,25,3.5,3.5,28,4,"outdoors"
2003,"CON","2004-01-18","IND","NE","IND",14,24,3.5,3.5,32,2,"outdoors"
2006,"DIV","2007-01-14","SEA","CHI","SEA",24,27,3.5,3.5,32,0,"outdoors"
2006,"CON","2007-01-21","NE","IND","NE",34,38,3.5,3.5,NA,NA,"dome"
2008,"WC","2009-01-04","MIA","BAL","MIA",27,9,-3.5,3.5,79,16,"outdoors"
2009,"WC","2010-01-09","PHI","DAL","PHI",14,34,3.5,3.5,NA,NA,"closed"
2010,"DIV","2011-01-15","BAL","PIT","BAL",24,31,3.5,3.5,36,17,"outdoors"
2010,"CON","2011-01-23","CHI","GB","CHI",21,14,-3.5,3.5,20,14,"outdoors"
2012,"CON","2013-01-20","ATL","SF","ATL",28,24,-3.5,3.5,NA,NA,"dome"
2014,"WC","2015-01-04","CIN","IND","CIN",10,26,3.5,3.5,NA,NA,"closed"
2015,"CON","2016-01-24","ARI","CAR","ARI",15,49,3.5,3.5,39,4,"outdoors"
2020,"WC","2021-01-10","TEN","BAL","TEN",20,13,-3.5,3.5,33,1,"outdoors"
2021,"CON","2022-01-30","SF","LA","SF",17,20,3.5,3.5,NA,NA,"dome"
2022,"DIV","2023-01-22","DAL","SF","DAL",12,19,3.5,3.5,55,19,"outdoors"
2023,"WC","2024-01-14","LA","DET","LA",23,24,3.5,3.5,NA,NA,"dome"
2000,"SB","2001-01-28","NYG","BAL","NYG",34,7,-3,3,65,8,"outdoors"
2001,"DIV","2002-01-19","OAK","NE","OAK",13,16,3,3,25,3,"outdoors"
2002,"WC","2003-01-05","NYG","SF","NYG",38,39,3,3,53,5,"outdoors"
2003,"WC","2004-01-03","DAL","CAR","DAL",10,29,3,3,63,9,"outdoors"
2003,"WC","2004-01-04","DEN","IND","DEN",10,41,3,3,NA,NA,"dome"
2004,"CON","2005-01-23","PIT","NE","PIT",41,27,-3,3,11,9,"outdoors"
2005,"WC","2006-01-08","CIN","PIT","CIN",31,17,-3,3,61,22,"outdoors"
2005,"DIV","2006-01-14","NE","DEN","NE",13,27,3,3,54,3,"outdoors"
2007,"WC","2008-01-05","WAS","SEA","WAS",14,35,3,3,42,13,"outdoors"
2008,"WC","2009-01-04","MIN","PHI","MIN",26,14,-3,3,NA,NA,"dome"
2010,"WC","2011-01-09","KC","BAL","KC",30,7,-3,3,26,15,"outdoors"
2010,"SB","2011-02-06","PIT","GB","PIT",25,31,3,3,NA,NA,"closed"
2011,"WC","2012-01-08","ATL","NYG","ATL",2,24,3,3,44,12,"outdoors"
2012,"WC","2013-01-06","WAS","SEA","WAS",24,14,-3,3,52,3,"outdoors"
2012,"DIV","2013-01-12","GB","SF","GB",31,45,3,3,48,5,"outdoors"
2013,"WC","2014-01-05","GB","SF","GB",23,20,-3,3,5,10,"outdoors"
2015,"WC","2016-01-09","HOU","KC","HOU",30,0,-3,3,NA,NA,"closed"
2016,"SB","2017-02-05","ATL","NE","ATL",34,28,-3,3,NA,NA,"closed"
2020,"CON","2021-01-24","BUF","KC","BUF",24,38,3,3,40,7,"outdoors"
2006,"CON","2007-01-21","NO","CHI","NO",14,39,2.5,2.5,28,10,"outdoors"
2007,"WC","2008-01-05","PIT","JAX","PIT",31,29,-2.5,2.5,39,8,"outdoors"
2009,"DIV","2010-01-17","DAL","MIN","DAL",3,34,2.5,2.5,NA,NA,"dome"
2012,"DIV","2013-01-13","SEA","ATL","SEA",28,30,2.5,2.5,NA,NA,"dome"
2015,"DIV","2016-01-17","SEA","CAR","SEA",24,31,2.5,2.5,43,7,"outdoors"
2018,"WC","2019-01-05","SEA","DAL","SEA",22,24,2.5,2.5,NA,NA,"closed"
2019,"WC","2020-01-04","BUF","HOU","BUF",19,22,2.5,2.5,NA,NA,"closed"
2020,"DIV","2021-01-16","BAL","BUF","BAL",3,17,2.5,2.5,34,13,"outdoors"
2021,"DIV","2022-01-23","BUF","KC","BUF",36,42,2.5,2.5,35,6,"outdoors"
2022,"WC","2023-01-16","TB","DAL","TB",31,14,-2.5,2.5,58,2,"outdoors"
2022,"CON","2023-01-29","SF","PHI","SF",7,31,2.5,2.5,52,14,"outdoors"
2008,"WC","2009-01-03","ATL","ARI","ATL",24,30,2,2,NA,NA,"closed"
2015,"WC","2016-01-09","CIN","PIT","CIN",18,16,-2,2,51,5,"outdoors"
2018,"SB","2019-02-03","LA","NE","LA",13,3,-2,2,NA,NA,"closed"
2022,"CON","2023-01-29","CIN","KC","CIN",20,23,2,2,22,13,"outdoors"
2019,"SB","2020-02-02","SF","KC","SF",20,31,1.5,1.5,NA,NA,"outdoors"
2024,"CON","2025-01-26","BUF","KC","BUF",29,32,1.5,1.5,31,8,"outdoors"
2003,"WC","2004-01-03","BAL","TEN","BAL",20,17,-1,1,63,9,"outdoors"
2004,"DIV","2005-01-16","IND","NE","IND",3,20,1,1,25,7,"outdoors"
2006,"WC","2007-01-06","DAL","SEA","DAL",20,21,1,1,44,15,"outdoors"
2014,"SB","2015-02-01","SEA","NE","SEA",28,24,-1,1,NA,NA,"closed"
