"season","game_type","winner","loser","winner_offensive_epa","winner_defensive_epa","loser_offensive_epa","loser_defensive_epa"
2000,"WC","MIA","IND",-0.00920365788056992,-0.0967741101768136,0.100923784256193,0.0176699076961101
2000,"WC","NO","STL",0.00652643831905844,-0.0327383984811677,NA,NA
2000,"WC","BAL","DEN",-0.0184578957690684,-0.157649127121095,0.0741821815339874,-0.00688365695250854
2000,"WC","PHI","TB",0.0412901644492381,-0.0356929933842819,0.00309597856874338,-0.0863142110161186
2000,"DIV","MIN","NO",0.0953009603003527,0.0695255856273322,0.00652643831905844,-0.0327383984811677
2000,"DIV","OAK","MIA",NA,NA,-0.00920365788056992,-0.0967741101768136
2000,"DIV","BAL","TEN",-0.0184578957690684,-0.157649127121095,0.012971303422074,-0.115405013438015
2000,"DIV","NYG","PHI",0.0343522259682499,-0.0296668294260578,0.0412901644492381,-0.0356929933842819
2000,"CON","NYG","MIN",0.0343522259682499,-0.0296668294260578,0.0953009603003527,0.0695255856273322
2000,"CON","BAL","OAK",-0.0184578957690684,-0.157649127121095,NA,NA
2000,"SB","BAL","NYG",-0.0184578957690684,-0.157649127121095,0.0343522259682499,-0.0296668294260578
2001,"WC","PHI","TB",0.016103005910408,-0.0883529245576594,-0.00429727618641222,-0.0445344178824545
2001,"WC","OAK","NYJ",NA,NA,-0.0145671686250718,-0.0281346083537617
2001,"WC","GB","SF",0.0546139200426336,-0.0650896725513187,0.0854403458075371,-0.017011220946041
2001,"WC","BAL","MIA",-0.0548047848761844,-0.116896177407152,0.0146705018658375,-0.0301540617492618
2001,"DIV","PHI","CHI",0.016103005910408,-0.0883529245576594,-0.013335248421668,-0.122740469264763
2001,"DIV","NE","OAK",0.0248137537784809,-0.0546833229310983,NA,NA
2001,"DIV","PIT","BAL",0.0471606035050859,-0.108670167902704,-0.0548047848761844,-0.116896177407152
2001,"DIV","STL","GB",NA,NA,0.0546139200426336,-0.0650896725513187
2001,"CON","NE","PIT",0.0248137537784809,-0.0546833229310983,0.0471606035050859,-0.108670167902704
2001,"CON","STL","PHI",NA,NA,0.016103005910408,-0.0883529245576594
2001,"SB","NE","STL",0.0248137537784809,-0.0546833229310983,NA,NA
2002,"WC","NYJ","IND",0.0797769814603951,0.011610479714035,0.0161506805318279,-0.0407476305741559
2002,"WC","ATL","GB",0.044769869529453,-0.0327783572079271,0.0204735988787362,-0.0363845707457136
2002,"WC","PIT","CLE",0.0310887429746025,-0.0332447351761145,0.0178804467493137,-0.0198964000765058
2002,"WC","SF","NYG",0.057795921289705,0.0478576712682261,0.000542408868784086,-0.035297705244171
2002,"DIV","TEN","PIT",0.0265977925438521,-0.0256193326037568,0.0310887429746025,-0.0332447351761145
2002,"DIV","PHI","ATL",0.0375098869974173,-0.131546722106184,0.044769869529453,-0.0327783572079271
2002,"DIV","TB","SF",-0.0246441857553196,-0.153276434284058,0.057795921289705,0.0478576712682261
2002,"DIV","OAK","NYJ",NA,NA,0.0797769814603951,0.011610479714035
2002,"CON","TB","PHI",-0.0246441857553196,-0.153276434284058,0.0375098869974173,-0.131546722106184
2002,"CON","OAK","TEN",NA,NA,0.0265977925438521,-0.0256193326037568
2002,"SB","TB","OAK",-0.0246441857553196,-0.153276434284058,NA,NA
2003,"WC","TEN","BAL",0.0467984708621607,-0.0425192438592524,-0.0485563403932244,-0.146907295663716
2003,"WC","CAR","DAL",-0.0506308404638845,-0.0630950624306711,-0.0539926098525878,-0.076375809077272
2003,"WC","GB","SEA",0.0724795859082384,-0.0342551851919908,0.0686030711477327,0.00174617014149599
2003,"WC","IND","DEN",0.109820402818792,0.0257809914918082,0.0206436915926569,-0.0418159633898242
2003,"DIV","CAR","STL",-0.0506308404638845,-0.0630950624306711,NA,NA
2003,"DIV","NE","TEN",-0.0357656117579959,-0.116838420997096,0.0467984708621607,-0.0425192438592524
2003,"DIV","IND","KC",0.109820402818792,0.0257809914918082,0.127554566800157,0.00415760644839751
2003,"DIV","PHI","GB",0.0437026660595976,-0.0275277473493065,0.0724795859082384,-0.0342551851919908
2003,"CON","NE","IND",-0.0357656117579959,-0.116838420997096,0.109820402818792,0.0257809914918082
2003,"CON","CAR","PHI",-0.0506308404638845,-0.0630950624306711,0.0437026660595976,-0.0275277473493065
2003,"SB","NE","CAR",-0.0357656117579959,-0.116838420997096,-0.0506308404638845,-0.0630950624306711
2004,"WC","STL","SEA",NA,NA,0.0286054289253464,0.0294053231130524
2004,"WC","NYJ","SD",0.0394036553227115,-0.0236598623870109,NA,NA
2004,"WC","IND","DEN",0.181134886502518,0.0539405095252449,0.0344345221475661,-0.0222604279169104
2004,"WC","MIN","GB",0.10836574562733,0.103026268162683,0.110036159560195,0.0758902204405362
2004,"DIV","PIT","NYJ",0.0381311703043147,-0.0627347521051896,0.0394036553227115,-0.0236598623870109
2004,"DIV","ATL","STL",-0.0155859679519058,-0.0205990539767554,NA,NA
2004,"DIV","PHI","MIN",0.0717086130933109,-0.0330880969539408,0.10836574562733,0.103026268162683
2004,"DIV","NE","IND",0.103677613665921,-0.0436854275586713,0.181134886502518,0.0539405095252449
2004,"CON","PHI","ATL",0.0717086130933109,-0.0330880969539408,-0.0155859679519058,-0.0205990539767554
2004,"CON","NE","PIT",0.103677613665921,-0.0436854275586713,0.0381311703043147,-0.0627347521051896
2004,"SB","NE","PHI",0.103677613665921,-0.0436854275586713,0.0717086130933109,-0.0330880969539408
2005,"WC","WAS","TB",0.0261144430794643,-0.0252298125578466,-0.0376129337717608,-0.0567109155275362
2005,"WC","NE","JAX",0.0848684720297707,0.0520940866887143,0.0204953891217164,-0.0617827182840122
2005,"WC","CAR","NYG",0.040969711618853,-0.071053900939847,0.0521824108405007,-0.0293669931462173
2005,"WC","PIT","CIN",0.0548190820767872,-0.0501323301481992,0.0968915163172653,0.0435418094695792
2005,"DIV","SEA","WAS",0.116129840808039,-0.0234201474153184,0.0261144430794643,-0.0252298125578466
2005,"DIV","DEN","NE",0.080582071582726,-0.0294477088199118,0.0848684720297707,0.0520940866887143
2005,"DIV","PIT","IND",0.0548190820767872,-0.0501323301481992,0.13331506505907,-0.0246917784929129
2005,"DIV","CAR","CHI",0.040969711618853,-0.071053900939847,-0.10796231086693,-0.142304661941373
2005,"CON","PIT","DEN",0.0548190820767872,-0.0501323301481992,0.080582071582726,-0.0294477088199118
