team,points_scored,points_allowed,pass_rush_rating,sack_rate,pressure_rate,pass_block_rating,sacks_allowed_rate,protection_rate,wins,losses,ties,win_pct,primary_qb,coach,passing_epa,total_pass_plays,rushing_epa,total_rush_plays,total_offensive_epa,total_plays,defensive_epa,defensive_pass_epa,defensive_rush_epa,season,conference,playoff_seed,superbowl_win,last_5_win_pct
BAL,350,315,10.2621722846442,0.0682788051209104,0.194879089615932,92.8139183055976,0.0641891891891892,0.839527027027027,10,7,0,0.588235294117647,Lamar Jackson,John Harbaugh,-0.0186764324399216,592,0.0363246087278152,478,0.011256513182978,1361,-0.0302902288387598,0.0543970387833807,-0.108909251992243,2022,AFC,6,No,0.4
BUF,455,286,10.302091402014,0.0583941605839416,0.194160583941606,91.6923076923077,0.0475504322766571,0.844380403458213,13,3,0,0.8125,Josh Allen,Sean McDermott,0.203724490764512,694,-0.0635429238866451,365,0.0896674951710507,1333,-0.0586765078654973,-0.0088493280611298,-0.117376501083223,2022,AFC,2,No,1.0
CIN,418,322,10.0078186082877,0.0475435816164818,0.202852614896989,90.2912621359223,0.0606060606060606,0.820936639118457,12,4,0,0.75,Joe Burrow,Zac Taylor,0.153750776776182,726,-0.0668640545591453,355,0.0407102725607244,1371,-0.0469358039850382,-0.0248775623998879,-0.0748717070836436,2022,AFC,3,No,1.0
DAL,467,342,11.3986013986014,0.0816944024205749,0.246596066565809,92.4435028248588,0.0427215189873418,0.830696202531646,12,5,0,0.705882352941177,Dak Prescott,Mike McCarthy,0.0805205385820537,632,-0.0332116659756983,516,0.0167266776435876,1444,-0.0845156714356097,-0.0618110654805345,-0.127737656745701,2022,NFC,5,No,0.6
JAX,404,350,10.179211469534,0.0490883590462833,0.199158485273492,93.3284457478006,0.0411160058737151,0.866372980910426,9,8,0,0.529411764705882,Trevor Lawrence,Doug Pederson,0.136223851924407,681,-0.0977247150423669,427,0.0291827750237401,1389,-0.0212996548260424,0.0405722002992104,-0.114223658011351,2022,AFC,4,No,1.0
KC,496,369,11.9370979270908,0.072463768115942,0.220026350461133,91.907514450867,0.0338541666666667,0.854166666666667,14,3,0,0.823529411764706,Patrick Mahomes,Andy Reid,0.273618618705756,768,-0.0189873341831923,368,0.122040339328041,1411,0.0092629787989177,0.03586719676397,-0.0787936319929924,2022,AFC,1,Yes,1.0
LAC,391,384,9.06274206041829,0.0661157024793388,0.193388429752066,89.8211829436038,0.048811013767209,0.81476846057572,10,7,0,0.588235294117647,Justin Herbert,Brandon Staley,0.0400179104094915,799,-0.0572595338033579,374,-0.0183876751398727,1483,-0.0180147766934744,-0.0057679564318925,0.0381764973721815,2022,AFC,5,No,0.8
MIA,397,399,9.54088952654232,0.0543478260869565,0.18070652173913,90.0763358778626,0.0520833333333333,0.806547619047619,9,8,0,0.529411764705882,Tua Tagovailoa,Mike McDaniel,0.10762766993746,672,-0.0495879120185153,369,0.0193373152903517,1327,0.0115786224856364,0.0905208177771473,-0.108902303952671,2022,AFC,7,No,0.2
MIN,424,427,8.67418899858956,0.0524137931034483,0.169655172413793,87.6281613123718,0.0608020698576973,0.765847347994825,13,4,0,0.764705882352941,Kirk Cousins,Kevin O'Connell,0.0728469158708254,773,-0.129593497940784,384,-0.0154936653840264,1487,0.0019345992665021,0.0513804843101965,-0.0769690573591937,2022,NFC,3,No,0.6
NYG,365,371,10.3597122302158,0.0611940298507463,0.214925373134328,88.4779516358464,0.0733532934131736,0.75748502994012,9,7,1,0.529411764705882,Daniel Jones,Brian Daboll,0.0597944492824936,668,-0.0059070871171474,451,0.0237927886728103,1429,0.0376671713221082,0.0481670600098446,0.0456657016193083,2022,NFC,6,No,0.4
PHI,477,344,13.4839650145773,0.102040816326531,0.269679300291545,92.4435028248588,0.0668693009118541,0.837386018237082,14,3,0,0.823529411764706,Jalen Hurts,Nick Sirianni,0.119229693607202,658,0.0738188758341414,496,0.0564433230101795,1455,-0.0513747377830895,-0.0883214990713894,-0.0228350756340782,2022,NFC,1,No,0.6
